teamname,did_draw_since,non_draw_in_a_row,non_draw_in_a_row_since,draw_games_prop,draw_games_prop_since,last_non_draw_games
Crystal Palace,0,26.67,46.67,29.46,10.71,6.67
Arsenal,1,13.33,53.33,23.39,17.86,13.33
Everton,0,26.67,60.00,34.56,33.33,33.33
Leicester,1,20.00,26.67,25.00,14.71,20.00
Swansea,1,26.67,60.00,32.23,28.57,0.00
Man United,0,0.00,26.67,16.97,21.43,13.33
Hull,1,0.00,53.33,26.45,21.43,26.67
QPR,1,20.00,73.33,30.65,26.47,13.33
Aston Villa,1,40.00,66.67,32.57,25.00,13.33
Stoke,1,26.67,73.33,30.59,34.48,0.00
Sunderland,1,33.33,33.33,28.24,23.08,26.67
West Brom,1,26.67,73.33,26.55,46.43,6.67
Tottenham,1,6.67,66.67,24.20,17.24,33.33
West Ham,0,40.00,66.67,27.88,25.00,33.33
Southampton,1,0.00,66.67,27.89,31.03,26.67
Liverpool,0,0.00,40.00,25.23,17.86,26.67
Man City,1,0.00,33.33,19.91,11.54,6.67
Newcastle,0,13.33,53.33,25.66,14.29,33.33
Chelsea,1,0.00,66.67,21.00,20.69,20.00
Burnley,1,0.00,53.33,27.24,37.14,0.00
Norwich,1,0.00,53.33,27.16,27.59,0.00
Fulham,1,0.00,0.00,27.40,10.34,13.33
Cardiff,1,0.00,60.00,28.96,24.14,20.00
Reading,1,0.00,46.67,27.63,28.57,6.67
Wigan,1,20.00,46.67,26.46,21.21,46.67
Wolves,1,0.00,33.33,22.08,20.59,66.67
Blackburn,1,26.67,73.33,28.02,29.41,26.67
Bolton,1,0.00,53.33,25.75,37.14,0.00
Birmingham,0,53.33,53.33,32.93,28.57,0.00
Blackpool,1,33.33,66.67,31.91,31.43,26.67
Portsmouth,0,13.33,73.33,27.60,41.67,0.00
Middlesbrough,1,0.00,73.33,27.63,40.00,0.00
Charlton,0,46.67,60.00,30.27,32.26,0.00
Brentford,1,26.67,26.67,31.06,20.59,13.33
Sheffield Weds,1,13.33,46.67,25.76,35.29,53.33
Brighton,1,13.33,66.67,31.06,32.35,6.67
Rotherham,1,0.00,66.67,25.66,31.43,6.67
Derby,0,6.67,46.67,24.15,22.86,0.00
Bournemouth,1,0.00,66.67,25.38,26.47,26.67
Huddersfield,1,0.00,20.00,28.68,22.86,0.00
Ipswich,1,6.67,66.67,29.06,34.29,26.67
Leeds,0,0.00,0.00,22.73,23.53,13.33
Millwall,1,0.00,60.00,24.91,28.57,26.67
Nott'm Forest,1,0.00,80.00,30.19,40.00,0.00
Watford,1,33.33,60.00,26.89,35.29,20.00
Barnsley,1,0.00,60.00,27.27,32.35,33.33
Doncaster,0,0.00,60.00,25.28,25.71,26.67
Yeovil,1,0.00,46.67,25.76,23.53,13.33
Peterboro,0,0.00,40.00,20.75,11.43,33.33
Bristol City,1,13.33,73.33,29.32,38.89,26.67
Coventry,1,0.00,60.00,28.68,25.71,20.00
Preston,1,26.67,46.67,31.58,38.89,0.00
Scunthorpe,1,0.00,66.67,27.82,47.22,0.00
Sheffield United,1,0.00,46.67,27.27,23.53,53.33
Plymouth,1,0.00,53.33,24.53,25.71,46.67
Crawley Town,0,6.67,66.67,29.73,41.94,0.00
Bradford,1,46.67,60.00,29.06,40.00,40.00
Oldham,1,20.00,53.33,28.57,22.22,13.33
Colchester,1,0.00,60.00,28.79,35.29,13.33
Crewe,1,0.00,46.67,23.31,25.00,0.00
Fleetwood Town,1,0.00,53.33,25.29,19.44,0.00
Chesterfield,1,0.00,53.33,27.44,33.33,0.00
Leyton Orient,1,0.00,53.33,23.68,22.22,6.67
Gillingham,1,0.00,0.00,27.07,13.89,80.00
Milton Keynes Dons,1,0.00,0.00,22.56,19.44,33.33
Walsall,1,33.33,66.67,31.95,33.33,0.00
Port Vale,1,6.67,40.00,25.66,11.43,33.33
Notts County,0,6.67,6.67,24.44,11.11,6.67
Rochdale,1,0.00,13.33,25.66,20.00,6.67
Swindon,0,0.00,26.67,28.20,22.22,13.33
Carlisle,1,0.00,0.00,27.55,20.00,13.33
Shrewsbury,1,26.67,53.33,30.57,34.29,0.00
Stevenage,1,0.00,13.33,26.62,17.14,0.00
Tranmere,1,20.00,53.33,24.15,25.71,13.33
Bury,1,26.67,80.00,29.55,41.18,0.00
Hartlepool,0,26.67,33.33,27.07,27.78,0.00
Exeter,1,13.33,53.33,27.44,27.78,6.67
Wycombe,1,6.67,66.67,29.06,31.43,13.33
Bristol Rvs,1,0.00,66.67,24.53,34.29,13.33
Dag and Red,1,0.00,66.67,24.91,34.29,6.67
Stockport,0,6.67,100.00,26.96,0.00,6.67
Southend,1,0.00,40.00,25.19,33.33,0.00
Hereford,0,0.00,60.00,26.32,30.56,0.00
Cheltenham,1,33.33,60.00,30.19,40.00,0.00
Northampton,1,33.33,66.67,29.06,28.57,6.67
Accrington,1,0.00,60.00,28.30,31.43,0.00
AFC Wimbledon,1,20.00,40.00,22.48,27.78,0.00
Cambridge,1,13.33,73.33,32.06,32.35,0.00
Luton,0,20.00,53.33,30.80,31.43,0.00
Morecambe,1,20.00,53.33,30.19,28.57,20.00
Newport County,1,26.67,66.67,29.07,32.35,13.33
Mansfield,1,0.00,60.00,23.11,33.33,13.33
Burton,1,6.67,33.33,25.19,33.33,0.00
Oxford,0,0.00,73.33,27.27,38.89,0.00
